F1,F2,F3,F4,
1.39,0.873907085,177.296567,-109.4863981,normal
1.52,0.968808557,163.1094897,-105.6585623,normal
1.43,1.056315595,162.8221887,-101.7101811,normal
1.37,0.902468723,180.6244017,-112.469811,normal
1.43,1.091482583,171.1848959,-103.2319208,normal
1.46,0.83818578,167.6447079,-111.6106679,normal
1.46,1.092378719,167.6117819,-98.93217187,normal
1.45,1.154503517,170.9232365,-101.1007128,normal
1.42,1.320217645,170.5586759,-110.9571886,normal
1.52,1.059610278,160.8124721,-95.30255061,normal
1.52,0.995245649,131.74021,-110.4849731,normal
1.4,1.461787612,172.9598458,-95.29362179,normal
1.4,1.231589706,173.3582356,-117.4969804,normal
1.48,1.073236928,159.437036,-98.07813072,normal
1.45,1.138840826,163.0438767,-85.23436557,normal
1.46,0.930095067,187.020545,-106.5572826,normal
1.36,1.348853066,172.9279349,-109.8501425,normal
1.44,1.363533451,167.1688252,-86.99289003,normal
1.44,1.462629123,181.2937033,-107.6113631,normal
1.42,1.440031293,184.483292,-118.8639012,normal
1.43,1.326389302,189.7452385,-103.7693401,normal
1.36,1.549035865,191.7056385,-105.6797719,normal
1.44,1.342188165,169.722515,-93.41183869,normal
1.44,1.589637056,194.9726879,-103.8274847,normal
1.47,1.296801247,188.4124489,-99.32312407,normal
1.4,1.127439762,208.3905295,-114.1252831,normal
1.4,0.910892293,193.04288,-114.5238704,normal
1.46,1.161725568,213.2589188,-114.5238704,normal
1.47,1.35330603,215.6041623,-126.0493805,normal
1.45,1.185935463,207.9991295,-111.4218504,normal
1.5,0.856166771,206.638835,-115.9829573,normal
1.36,1.335138345,202.4515705,-112.157356,normal
1.46,1.232046305,203.8386452,-109.5548231,normal
1.38,1.293083147,192.7387798,-104.9600297,normal
1.44,1.43305581,165.2609091,-102.6955424,normal
1.46,1.21279164,182.9979321,-111.6824901,normal
1.36,1.235027443,215.3631493,-119.8885287,normal
1.46,1.494159963,168.2417006,-121.7812389,normal
1.43,1.420102894,190.725098,-109.4521961,normal
1.42,1.400551496,190.0235543,-113.9049939,normal
1.4,1.357337955,187.0729835,-114.917496,normal
1.4,1.471146985,218.9391066,-119.2964117,normal
1.48,1.637855187,221.7327305,-119.6796009,normal
1.48,1.495889156,223.5331579,-121.7199784,normal
1.49,1.651286294,217.3379313,-123.77575,normal
1.47,1.836663082,246.0662396,-132.1858037,normal
1.48,1.794248252,204.8253213,-132.1858037,normal
1.46,1.880138702,216.561841,-119.2359299,normal
1.48,1.579143196,233.2511005,-131.4668018,normal
1.42,1.871796412,237.3549016,-131.4668018,normal
1.47,1.854257852,216.0445086,-122.2849341,normal
1.42,1.416601591,221.066394,-119.7160669,normal
1.43,1.697945226,233.1418986,-123.5227912,normal
1.46,1.329987157,195.9443111,-118.1492029,normal
1.39,1.504373093,249.7058039,-129.8459997,normal
1.44,1.762243747,217.3596831,-129.8459997,normal
1.37,1.379287982,208.647209,-129.7152198,normal
1.34,1.587490871,232.9784837,-135.283843,normal
1.33,1.579996775,227.6224507,-135.283843,normal
1.4,1.459176372,227.7046968,-124.1080443,normal
1.4,1.667872104,200.4860777,-112.3669277,normal
1.4,1.536958122,235.034441,-130.4786044,normal
1.37,1.545712396,268.4820093,-138.239303,normal
1.42,1.442139594,256.718958,-138.239303,normal
1.42,1.9185933,212.680828,-129.008559,normal
1.32,1.664791418,248.1672306,-129.1047162,normal
1.38,1.434317611,242.7630762,-133.9857011,normal
1.36,1.569477754,259.0004519,-142.096397,normal
1.37,1.639667696,235.2022075,-142.096397,normal
1.38,1.426949663,249.9538106,-130.6598788,normal
1.41,1.678537517,268.1060403,-147.4642768,normal
1.44,1.428682455,217.5694242,-147.4642768,normal
1.43,1.547222446,188.994517,-118.8653511,normal
1.36,1.377364675,222.3198331,-118.2976428,normal
1.43,1.64943031,213.6829779,-132.8467573,normal
1.41,1.436300266,248.4631447,-132.8467573,normal
1.39,1.563101974,219.1616458,-121.9505329,normal
1.52,1.537698123,209.8333456,-116.3333306,normal
1.4,1.278209107,224.3738238,-116.5636545,normal
1.46,1.514785041,236.9274552,-119.2767285,normal
1.51,1.613041334,180.1707035,-114.6603601,normal
1.45,1.520627171,224.4386811,-131.157611,normal
1.54,1.54859673,224.9607112,-131.157611,normal
1.5,1.31436915,205.4642378,-125.0848447,normal
1.43,1.316613638,189.2571174,-119.2842566,normal
1.43,1.303852647,189.8884714,-117.0028369,normal
1.35,1.184444446,220.1058677,-119.7033958,normal
1.45,1.33370548,237.3949511,-123.5825902,normal
1.47,1.240327665,222.8800206,-123.5825902,normal
1.41,1.41902474,210.4273668,-120.9569018,normal
1.4,1.808036244,228.3192354,-133.0066163,normal
1.41,1.651983282,238.4013819,-138.5603126,normal
1.38,1.43837474,253.6406475,-127.4179094,normal
1.47,1.49231945,262.3915854,-130.1866803,normal
1.39,0.827965044,254.4141444,-135.2498082,normal
1.46,1.204208239,244.0422982,-135.2498082,normal
1.42,1.488763589,240.5762753,-133.9776039,normal
1.46,0.974184067,242.9975931,-137.9553993,normal
1.41,0.786114553,242.0170202,-137.9553993,normal
1.41,1.054462755,229.4303516,-122.3911407,normal
1.51,0.881353759,225.0269947,-127.3681677,normal
1.43,1.361055154,234.0101563,-127.3681677,normal
1.49,1.246294173,210.6815093,-120.4288002,normal
1.38,1.209991214,222.6086844,-119.9035584,normal
1.43,1.182788487,229.7460339,-119.410846,normal
1.44,1.681023856,236.4783554,-119.410846,normal
1.5,1.008540823,196.2110137,-116.3761573,normal
1.38,1.429585584,190.3651837,-125.9837792,normal
1.45,1.155763123,226.9696235,-119.8840608,normal
1.47,1.75540696,229.5436849,-124.4382534,normal
1.4,1.525510611,182.5934878,-122.0258697,normal
1.46,1.67940614,202.520956,-110.8520927,normal
1.55,1.591059191,218.3122669,-122.7738334,normal
1.46,0.949069362,249.8122016,-124.3161356,normal
1.49,1.054584751,238.2269712,-125.4864035,normal
1.42,1.730306973,219.859583,-125.4864035,normal
1.38,1.331420643,232.9547187,-121.3676337,normal
1.49,1.171183144,247.4229422,-131.4435105,normal
1.47,1.27261784,232.3465857,-131.4435105,normal
1.41,1.15850175,224.4953106,-122.6985477,normal
1.42,1.374386596,253.8648165,-133.2891419,normal
1.45,1.163213195,271.8961737,-133.2891419,normal
1.44,1.654827617,260.3485723,-133.4043537,normal
1.38,1.577810177,237.3724784,-133.4043537,normal
1.39,1.216449298,247.837375,-124.6995952,normal
1.42,0.442806405,272.1575319,-133.7965624,normal
1.38,1.355778628,228.8342419,-135.4343312,normal
1.37,1.54970745,229.4024267,-127.3512913,normal
1.34,1.32776636,275.8636535,-144.3373627,normal
1.39,1.501058917,223.7751882,-144.3373627,normal
1.37,1.482818752,268.1247761,-135.7648397,normal
1.33,1.751365171,268.7913344,-145.8935108,normal
1.37,1.665511611,243.0386324,-145.8935108,normal
1.35,1.479996693,250.3196722,-130.1947991,normal
1.35,1.417906358,269.929309,-135.9513506,normal
1.4,1.292532773,255.8722616,-139.3093296,normal
1.36,1.521248122,262.9321661,-139.3093296,normal
1.33,1.868135907,273.4271449,-144.4484831,normal
1.36,1.216872309,276.4213818,-142.7740948,normal
