Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.43,1.109910566,217.5195938,-124.6136886,1.33,0.702340913,259.518216,-157.7316167,0.96,0.869143782,338.2034504,-193.1640213
1.29,0.762109586,220.5635894,-131.8310925,1.22,1.022983467,281.9984876,-174.9414817,0.97,1.34136514,342.6705384,-199.7129979
1.28,0.76049353,233.0633115,-138.2484905,1.2,1.08077189,280.1108103,-178.0611631,0.98,1.067167275,346.5227149,-201.4598002
1.26,1.02626079,228.6979421,-113.7668903,1.17,1.29367905,291.2155918,-178.6247472,0.99,1.466126796,342.1999681,-203.0175599
1.23,0.7840929,238.620673,-139.7666215,1.17,0.735845365,292.3256852,-188.746972,0.96,0.788070896,344.9289861,-195.6190781
1.3,0.835860251,227.0644102,-139.3804395,1.16,1.069428577,302.0141014,-178.3824073,0.95,1.151686035,347.2932386,-196.6084183
1.28,0.656567494,240.1281968,-140.4804823,1.14,1.306380066,297.3035204,-182.061507,0.97,1.380257418,340.7743465,-197.0584123
1.3,0.778077127,229.4063673,-139.7544522,1.14,1.268113834,293.2640523,-179.2632744,0.97,1.353097184,339.0854101,-196.0723953
1.29,0.95192242,223.7250634,-138.0424386,1.16,1.365144778,293.0521207,-185.544223,0.96,1.524227206,346.4197085,-200.3432978
1.29,0.899413894,231.7330788,-151.4507196,1.15,1.15942177,306.7190104,-181.5872798,0.95,1.314021466,345.0716489,-197.3305587
1.27,1.102059733,240.2619736,-146.716021,1.14,1.061053244,301.6048758,-178.6667638,0.95,1.372979546,343.338462,-197.5004887
1.27,0.939070363,249.0429526,-144.8604804,1.14,1.112520993,304.8442248,-192.2123118,0.94,1.214341701,344.0190837,-194.7639622
1.29,1.080060945,258.2163243,-151.6002739,1.15,1.340543623,297.2975584,-189.1530251,0.94,1.341151149,354.847705,-201.8042139
1.31,0.922938889,232.6762241,-139.9847028,1.16,0.997926968,289.5100234,-175.1904783,0.97,1.374529373,333.8394041,-199.4376566
1.32,1.204536929,250.1915952,-145.9417801,1.19,1.201912895,283.0594317,-183.2159609,0.94,1.447839616,351.4136657,-194.3335443
1.33,1.449756785,234.5697531,-134.7756739,1.2,1.436813779,275.8593698,-181.4609595,0.97,1.600067225,343.6705261,-196.4188084
1.34,1.080532364,220.8889553,-143.2435894,1.2,1.140698023,281.3465586,-178.4139161,0.96,1.191169287,347.8213748,-201.0090442
1.34,0.862699963,218.3454294,-152.4930936,1.19,0.969138783,285.2464586,-178.963773,0.95,1.198882577,351.4599327,-199.6111205
1.33,1.331876142,233.7212588,-150.8192056,1.17,1.471824645,292.1133794,-175.9111739,0.95,1.659551068,350.3144436,-205.2849656
1.32,1.23205725,238.926821,-152.5963103,1.19,1.067258233,286.810119,-176.4882446,0.95,1.29544217,354.2581042,-206.8297606
