Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.6,0.791927089,184.5771705,-93.62269004,1.44,1.411423194,209.4584725,-106.6514519,1.28,1.46731062,228.8793415,-128.6621812
1.41,1.090088299,184.2901967,-116.8606071,1.41,0.962297768,207.0220877,-104.0307548,1.27,1.277169185,196.3494983,-112.5045291
1.38,1.025074759,162.7356819,-114.4283199,1.39,1.256585901,228.7885541,-116.6883381,1.25,1.556416716,195.5209507,-113.8952321
1.34,1.24950492,193.8163497,-117.8256839,1.44,1.077062524,207.0043684,-110.2156671,1.27,1.441811123,202.6772114,-126.5741132
1.37,0.956557416,194.8595341,-112.0243431,1.42,1.565780949,197.4249113,-121.362585,1.26,1.920384341,201.1258445,-123.5210735
1.42,1.226480956,190.0358873,-108.0041023,1.36,1.575658042,205.1273279,-127.3930705,1.19,1.553324695,209.0494928,-115.984974
1.43,1.300642454,179.4291071,-109.5636783,1.37,1.268017754,222.2124735,-121.9889912,1.23,1.539391317,211.4440377,-116.063655
1.33,1.227443168,196.9890031,-112.5647687,1.39,1.692917695,202.2356905,-117.8479834,1.22,1.727190005,205.6300457,-128.1884028
1.39,0.908141325,161.5381777,-100.6652439,1.36,1.509323397,218.6986327,-111.770811,1.21,1.5386931,210.9433912,-125.1369496
1.4,1.50694737,180.3999265,-111.3741476,1.39,1.860340413,224.0544359,-108.103934,1.24,1.888388685,206.4555044,-126.0861979
1.39,1.33009814,179.0596436,-120.8657871,1.38,1.294453338,208.2283345,-124.4579933,1.23,1.40633654,207.7992621,-114.3214055
1.42,0.826624775,147.3011072,-103.1011323,1.35,1.831850504,216.9295063,-122.4845692,1.21,1.956870397,219.4664036,-127.0768555
1.42,0.942810114,146.4781013,-103.3861819,1.4,1.76339932,204.0760892,-118.0991334,1.21,1.742249675,209.5921491,-126.3159189
1.41,1.106713037,168.1005199,-111.959681,1.41,1.986272925,206.1841126,-119.8542913,1.19,1.989009551,214.7787409,-110.6072977
1.42,1.0739201,159.0307455,-109.9298722,1.39,1.818496762,193.2492209,-113.4050951,1.2,2.049673992,226.8865737,-121.5377477
1.48,1.165757675,146.7111724,-106.2746545,1.39,1.422326871,216.4396947,-100.8855832,1.22,1.750127968,206.0656686,-117.5651817
1.5,1.338255396,147.9246226,-99.05895326,1.38,1.631632077,209.465334,-94.57248451,1.2,1.859795853,211.9105278,-113.2203354
1.39,1.189679025,161.3322795,-109.7275537,1.37,1.210123738,242.9577258,-107.3954403,1.18,1.456272638,214.6205316,-120.6220711
1.44,1.292366346,155.185354,-117.2934204,1.39,1.738030526,228.2553601,-104.8982777,1.19,1.781563199,212.0542658,-122.3726595
1.46,1.378607639,143.1191692,-108.3805687,1.38,1.669371936,218.8576314,-120.6892427,1.16,1.696285641,202.3711545,-115.3135527
1.07,1.10216384,111.1100417,-100.3081839,1.35,1.887229842,213.4043476,-121.3479075,1.17,1.858308842,212.5221871,-114.2013784
1.83,0.608206257,151.9627726,-101.7824113,1.35,1.776101414,232.8292018,-124.1712153,1.18,1.985524123,209.9944261,-114.9211063
1.43,1.222772303,159.3740777,-101.5610291,1.36,1.63045779,222.4409094,-127.5194067,1.18,1.746001897,223.9564062,-122.1606499
1.48,0.933213131,158.689045,-104.5016309,1.37,1.416222817,190.5838608,-107.8647618,1.16,1.661157243,208.6557371,-122.2043046
1.4,1.209259055,161.724984,-105.5805348,1.33,1.553545944,236.0719423,-121.7794389,1.16,1.714956881,216.9289089,-116.2612792
1.44,1.158509806,162.5413131,-102.5050408,1.37,1.126452357,212.7665721,-125.9231846,1.17,1.462078326,212.6306332,-121.2035694
1.4,0.854951862,162.2681493,-101.7826258,1.33,1.289231377,223.097732,-127.9995027,1.17,1.616972137,220.8989759,-114.831259
1.42,0.757371334,144.6740936,-99.19502635,1.34,1.409270537,224.494612,-123.8176655,1.16,1.757056572,213.6583281,-124.9516486
1.43,0.827015061,152.2525868,-98.95502604,1.36,1.804677096,215.7876527,-126.8254905,1.16,2.145577597,217.5783238,-99.90737573
1.41,0.965076529,152.0500922,-100.4706905,1.3,1.288245445,221.3118691,-126.0877311,1.16,1.470654516,218.924817,-122.99138
1.46,0.995733579,169.5821197,-97.52319445,1.32,1.803747527,227.3879262,-117.8598812,1.15,1.976171047,215.3629866,-121.8328495
1.45,1.036694502,161.5369371,-98.97743472,1.32,1.856925548,205.7463145,-123.141747,1.18,1.881960558,218.890362,-131.6685863
1.4,1.412807405,178.0671424,-105.0964738,1.34,1.1624534,228.887995,-117.9046998,1.16,1.18616935,223.1216209,-127.0070369
1.44,1.180288078,155.5632434,-91.25946565,1.35,1.082022194,221.1193248,-124.0846366,1.17,1.383213585,213.6094155,-122.0730103
1.45,1.480102505,157.4034194,-84.84186503,1.34,0.59751374,204.2678206,-116.0920669,1.12,0.661049199,218.3909044,-112.9533079
1.41,0.932160953,186.9908768,-109.3111691,1.33,0.569470163,211.6447718,-124.128307,1.13,0.568659526,215.1515715,-121.7237066
1.47,1.195389671,168.0053422,-111.8209983,1.38,1.459065248,199.7768059,-121.1188314,1.15,1.490948916,220.8517862,-124.3023957
1.43,1.587006822,167.0701425,-91.37772907,1.35,1.381858831,220.3435268,-122.4862733,1.16,1.649899673,222.9002413,-121.7290593
1.47,1.496820829,151.9994574,-79.92513334,1.36,1.996770157,224.9539461,-120.8102788,1.14,2.247963302,207.1583579,-112.6773108
1.47,1.523367097,158.6447742,-81.76930446,1.41,2.001273281,195.9342934,-118.6866882,1.13,2.316696079,201.0678426,-119.5842013
1.49,1.546014794,175.6687455,-96.47812463,1.35,1.973532662,224.5966046,-128.1653431,1.15,2.324225924,215.5094042,-121.589758
1.41,1.278328631,160.6267854,-104.0090839,1.35,1.389860885,221.2663384,-107.5517166,1.12,1.575462947,219.2804573,-119.6667028
1.39,1.227736018,188.9576041,-105.0399085,1.36,1.781502438,239.3811775,-115.8876929,1.15,1.923499491,231.3512406,-133.788692
1.42,1.215767474,168.3118061,-98.62647393,1.32,1.504647993,237.6469604,-121.8966025,1.12,1.746890343,224.6390557,-131.5587232
1.48,0.68667681,148.0622463,-96.298613,1.36,1.573650026,218.8025861,-112.9744049,1.13,1.620764564,221.8184258,-133.5475018
1.44,1.247265827,145.8344304,-96.81784352,1.37,1.749582695,230.9468092,-119.4057777,1.13,2.030102925,223.072298,-127.5781926
1.37,1.323541555,172.1524392,-104.2007062,1.34,1.4986038,217.8472477,-123.7665896,1.15,1.522282026,231.7952505,-129.0712307
1.41,1.315647356,159.5574043,-103.3401446,1.33,1.626350889,228.8770201,-126.6187813,1.17,1.741226673,220.9795281,-120.6383762
1.39,1.38648745,156.378761,-101.8583545,1.35,0.872989588,210.9720005,-121.0858403,1.17,1.223164008,224.3489586,-125.3488216
1.39,1.144768495,162.6500146,-102.7075374,1.33,1.520713847,212.4180022,-119.9649113,1.13,1.810764207,221.5118241,-118.59514
1.42,0.700107518,150.6094282,-95.98075643,1.37,1.372241385,196.8177766,-122.5315832,1.17,1.589549011,215.3690668,-111.0971765
1.41,0.918227931,167.7693034,-103.6316143,1.37,1.915947044,205.9062532,-117.0795389,1.16,1.90399523,209.9543176,-125.6387819
1.45,1.175600115,168.259774,-106.8787768,1.39,1.991914236,209.9124315,-117.9405589,1.15,2.048261494,230.1479268,-135.4529559
1.42,1.166620701,169.6707535,-106.2883099,1.35,1.972618965,208.1806446,-116.708793,1.12,2.227535636,200.8366285,-120.4831033
1.42,1.316603022,154.6761506,-96.5354118,1.37,2.009400097,220.8667257,-107.1525755,1.15,2.269126816,216.4703556,-119.5701176
1.45,1.369593008,169.6541997,-91.80427928,1.34,2.06370662,228.6678054,-129.3485668,1.13,2.067996375,238.629416,-127.6998049
1.44,1.09963536,175.6643566,-103.1927818,1.4,1.482053023,215.1120411,-92.56087206,1.17,1.831348639,211.9857399,-121.4420525
1.46,1.50703362,164.2819984,-112.6989246,1.37,1.756720055,226.8977786,-104.1362921,1.15,2.013022765,226.5353373,-124.4405022
1.43,1.155350561,185.0768855,-89.68708853,1.42,1.996678741,191.267078,-100.7819905,1.12,2.100367177,229.7780954,-140.9115421
1.42,1.37269136,188.3683146,-90.76090579,1.37,1.564483815,201.8640485,-119.0994467,1.14,1.821254688,212.6379125,-122.4217882
1.44,1.202058961,194.5934598,-102.60364,1.36,1.592530866,208.4540508,-112.1245474,1.13,1.718713335,225.8450981,-127.0607999
1.46,1.052755272,177.6666593,-97.76410564,1.37,1.35335462,207.2453706,-123.623038,1.14,1.566292833,215.4943523,-112.5781065
1.45,1.21254738,173.2080157,-108.7060285,1.4,1.909760791,187.4826152,-106.4311728,1.14,2.165878644,225.3314403,-127.5451049
1.43,1.447027887,176.5119527,-117.2292102,1.38,1.972243414,206.8193835,-123.9674135,1.13,2.223085796,223.1434821,-121.4677233
1.44,1.094343013,190.6967697,-99.50136203,1.39,1.893733166,190.7031892,-118.2314507,1.15,1.974818813,219.6978397,-124.6684879
1.38,1.419876029,179.3973268,-97.94734902,1.37,1.951939052,208.6502694,-119.5123182,1.17,2.015928445,205.3541671,-121.5561804
1.34,1.162093576,165.7349199,-116.818131,1.37,1.278760174,206.9762272,-125.7370687,1.13,1.308604332,215.9934325,-124.9461737
1.41,1.197659723,171.7172978,-78.65495246,1.42,1.849590272,195.3888374,-118.6778977,1.12,2.085311567,232.0247306,-127.5139585
1.39,1.224801076,187.9484445,-112.691027,1.39,1.654925837,210.9604475,-119.681483,1.17,1.845849534,211.1002233,-115.1633133
1.4,0.942162896,174.0904274,-116.5052423,1.39,1.829053421,208.4494824,-123.6798625,1.14,1.804954748,209.093495,-121.8908413
1.37,1.158990036,170.2547898,-115.7789067,1.42,2.061994067,210.4462166,-128.7693036,1.13,2.136581681,216.2209582,-125.2067774
1.44,1.421748659,152.0892614,-104.3002569,1.4,1.726909809,205.4026092,-110.8968647,1.17,1.809767448,211.5968857,-120.1804813
1.4,0.953751039,150.2009569,-115.421101,1.39,1.59498701,189.0487612,-118.1529716,1.14,1.593851092,225.0996581,-136.8146275
1.38,1.405800402,174.6095906,-116.3769592,1.39,2.134704012,214.1589137,-120.1796165,1.14,2.365502432,228.0104714,-124.2359868
1.41,1.436375224,153.4172814,-113.2854145,1.35,1.493012922,197.4820846,-113.0499217,1.14,1.536037093,230.3034377,-142.6469407
1.4,1.059773443,155.187435,-105.0995211,1.33,1.925069501,220.7612969,-116.0356845,1.13,2.087187291,218.9518706,-122.5796601
1.36,0.864131801,173.6414833,-127.320355,1.38,2.256973951,210.2745917,-115.7085608,1.16,2.361524602,207.0366539,-125.187492
1.38,1.094009686,174.5983901,-109.3884294,1.34,1.460511226,226.6775506,-130.5311963,1.12,1.593504357,227.5800129,-123.5501922
1.42,1.336006969,168.6116768,-100.5765714,1.38,1.645024351,218.5360311,-111.8040941,1.14,2.00841083,212.7505552,-99.92852695
1.45,1.243722581,151.4947597,-114.7362064,1.37,1.714867108,225.1401797,-109.0671111,1.15,1.79393166,216.422282,-123.2370421
1.36,0.670985,185.0233787,-112.4204124,1.42,2.376077632,222.0273902,-104.9362927,1.17,2.641882568,220.1073665,-113.0411425
1.45,0.930004108,143.2691963,-112.2716779,1.42,2.218845404,203.4198042,-107.6214253,1.19,2.480803633,209.3084784,-129.8948702
1.36,1.135921785,180.6250155,-109.6378283,1.52,2.110444646,188.6889764,-106.9709407,1.16,2.45762796,215.9465152,-129.4903449
