F1,F2,F3,F4,gait
1.18,1.187012638,299.2921642,-161.3093943,dorsi
1.24,0.820968946,297.9434268,-175.43746,dorsi
1.23,1.033793043,309.6502862,-178.2715353,dorsi
1.24,1.045778837,313.9844517,-168.8022273,dorsi
1.2,1.039389743,322.4691818,-170.5150963,dorsi
1.21,1.637720183,312.2802516,-174.2262502,dorsi
1.22,1.040320303,307.019219,-171.0141289,dorsi
1.21,1.021167207,308.5782887,-177.291067,dorsi
1.2,1.119186926,318.4445567,-183.9666794,dorsi
1.21,1.124512912,308.87003,-181.1367048,dorsi
1.2,1.148927572,310.3958902,-175.0890532,dorsi
1.19,0.844098527,302.9860954,-174.5722646,dorsi
1.22,1.298657154,305.6484863,-173.0294483,dorsi
1.21,1.209110367,306.8158537,-181.15448,dorsi
1.2,1.240774667,309.2184613,-189.6794493,dorsi
1.2,1.38113278,310.7536523,-176.8361304,dorsi
1.18,1.165701782,320.7611921,-178.9425492,dorsi
1.2,1.408445592,298.7856726,-180.5661269,dorsi
1.2,1.143730342,315.3608849,-186.2805593,dorsi
1.21,1.072194078,317.3826901,-186.9949607,dorsi
1.17,1.2004184,308.2068273,-176.5768072,dorsi
1.22,1.177725731,310.390504,-177.7187965,dorsi
1.2,1.1045385,319.3311112,-177.5684006,dorsi
1.22,1.146567117,309.1444973,-174.4208575,dorsi
1.23,1.18332452,308.5874583,-168.6802808,dorsi
1.21,1.576867892,326.0318818,-175.2061502,dorsi
1.2,1.472211117,314.6970547,-177.9904428,dorsi
1.18,1.304766553,310.5207507,-185.4662389,dorsi
1.19,1.560524396,307.281543,-185.9072772,dorsi
1.18,0.987117453,314.9504339,-177.6907418,dorsi
1.22,1.219768117,310.0098409,-184.2173803,dorsi
1.19,1.365716577,333.2356904,-192.4052806,dorsi
1.19,1.356341691,308.1892825,-177.4879311,dorsi
1.2,1.051954536,310.3345782,-179.6822657,dorsi
1.22,1.610064629,302.2565753,-184.7461876,dorsi
1.23,1.201395824,317.9764972,-179.475344,dorsi
1.19,1.380875132,316.1667385,-185.129242,dorsi
1.2,1.298834198,302.9018003,-178.9217407,dorsi
1.17,1.109088558,325.3636519,-186.5516592,dorsi
1.18,1.00698222,319.4098556,-189.464828,dorsi
1.17,1.327597577,319.8669491,-189.0488758,dorsi
1.18,1.214660157,314.0088845,-187.4226,dorsi
1.18,1.784001716,320.433828,-179.3331608,dorsi
1.16,1.516845893,329.1225983,-192.8348585,dorsi
1.16,1.558482954,324.2395322,-185.4792324,dorsi
1.19,1.326118938,321.9709654,-181.9351303,dorsi
1.19,1.427235817,323.4510201,-190.0249799,dorsi
1.17,1.330773168,322.1424069,-183.5607468,dorsi
1.17,1.375414964,328.4646134,-180.8018537,dorsi
1.2,1.531995784,310.548168,-182.6855307,dorsi
1.18,1.654509034,310.6766378,-186.8097013,dorsi
1.2,1.393003328,310.6737349,-184.3213413,dorsi
1.19,1.557381694,320.6367004,-184.5951982,dorsi
1.25,1.541773075,292.0075733,-174.5564578,dorsi
1.22,1.342464521,311.0454019,-179.9679272,dorsi
1.24,1.087327586,320.8011,-178.8940433,dorsi
1.23,1.403717593,323.5550987,-178.0368168,dorsi
1.21,1.545212038,327.4934317,-173.9299133,dorsi
1.22,1.218092677,308.227829,-179.1686292,dorsi
1.21,1.288525179,309.5263662,-175.5206255,dorsi
1.21,1.267987418,315.0211941,-180.1824329,dorsi
1.22,1.434131672,315.077983,-175.0354812,dorsi
1.22,1.563196104,314.9758901,-176.7682692,dorsi
1.19,1.402601622,326.4787435,-184.0570725,dorsi
1.23,1.628755846,302.8931499,-177.6370637,dorsi
1.19,1.527561959,322.7713007,-179.3534892,dorsi
1.17,1.788436433,337.2650381,-180.5859076,dorsi
1.24,1.367907615,299.0662293,-180.50948,dorsi
1.28,0.977224264,303.676728,-174.5373571,dorsi
1.2,1.044174863,305.1372868,-182.0708582,dorsi
1.21,1.35889912,318.6537577,-180.0172365,dorsi
1.24,1.381170328,310.2153988,-178.9483086,dorsi
1.22,1.563186965,323.8885074,-186.2979567,dorsi
1.23,1.029705083,314.4791676,-177.1603852,dorsi
