F1,F2,F3,F4,gait
1.43,0.457334996,272.6270047,-146.3577284,normal
1.29,0.703463148,269.4886074,-154.5694212,normal
1.26,0.699959377,278.9797818,-139.5400297,normal
1.22,0.650215558,299.6260252,-162.7180844,normal
1.26,1.025182317,291.7602158,-149.3214865,normal
1.24,0.666698352,295.5376671,-158.3813972,normal
1.27,0.572151233,290.9689893,-145.4916075,normal
1.23,0.664332779,297.6040163,-159.3139383,normal
1.23,0.774567465,289.2413796,-149.8406291,normal
1.25,0.968862487,300.5796027,-167.527919,normal
1.27,0.803168975,283.574659,-158.9389545,normal
1.24,0.937253732,290.5016927,-166.862404,normal
1.3,0.788462857,270.9219216,-163.0343865,normal
1.28,0.940762271,289.8005987,-164.0186408,normal
1.22,0.733595634,296.2083512,-163.7877454,normal
1.21,1.149569031,301.6328086,-168.2927257,normal
1.26,1.479215254,281.5417374,-167.9582163,normal
1.23,0.62110757,292.6756345,-165.3426505,normal
1.24,0.881738897,281.9373283,-164.0788983,normal
1.24,0.891107876,270.2860423,-160.8486853,normal
1.21,1.107901656,278.0230182,-165.7405322,normal
1.24,1.15686595,276.3124575,-171.6445785,normal
1.24,1.163420921,290.5054832,-158.9099537,normal
1.24,0.881818225,290.9939528,-164.328201,normal
1.24,1.125129508,300.4158265,-157.7072001,normal
1.23,0.765899525,286.3833882,-146.1179426,normal
1.25,0.757136116,286.6313409,-141.8606323,normal
1.24,1.35816609,283.9298073,-163.8814143,normal
1.24,1.071478182,287.1294369,-161.1091482,normal
1.21,0.891964314,291.4749734,-168.2974653,normal
1.22,0.942330464,295.2874536,-162.7336417,normal
1.23,0.79088814,278.1273599,-177.1260487,normal
1.21,1.211770225,298.6964098,-171.4066647,normal
1.23,1.082612954,291.0933973,-174.0594005,normal
1.22,1.434992006,276.0583886,-159.9180107,normal
1.23,0.995483681,280.7814465,-154.5091361,normal
1.21,0.827185713,298.1777496,-159.4277882,normal
1.21,0.938726034,291.6184455,-165.5943106,normal
1.21,1.437993208,286.0646108,-170.7682257,normal
1.24,1.004886401,289.364606,-165.0306411,normal
1.17,1.179781793,286.7048734,-171.7753036,normal
1.18,0.961193928,306.4488181,-165.4693158,normal
1.17,1.268919823,292.9961603,-165.0152293,normal
1.18,0.991017697,302.2034233,-164.2601259,normal
1.16,1.124497355,306.0926186,-166.7556954,normal
1.17,1.022615442,300.2696514,-165.0416778,normal
1.22,0.762950376,292.5829851,-161.5458198,normal
1.2,1.093003473,304.6798746,-173.2536678,normal
1.18,1.361709149,300.541379,-165.2162844,normal
1.19,1.027272662,302.788249,-156.5270891,normal
1.24,0.745319767,282.2234737,-147.5337667,normal
1.22,0.655178749,286.8749039,-159.3624463,normal
1.2,0.861540305,289.4857662,-171.021625,normal
1.24,1.044617106,295.8069732,-163.7912844,normal
1.22,1.085479679,290.0556547,-161.9429009,normal
1.21,1.168988849,283.9990175,-166.0596808,normal
1.25,1.163063134,292.209634,-153.6717834,normal
1.27,0.836443651,306.2949107,-161.3803436,normal
1.25,0.784971033,299.0425691,-153.3172503,normal
1.21,0.921154397,304.1105257,-154.7300201,normal
1.2,0.890801737,303.0003017,-161.7662966,normal
1.2,1.044024158,299.4733931,-175.521699,normal
1.22,1.162289188,300.6988174,-172.5308033,normal
1.22,1.216994201,293.8818105,-173.8213189,normal
1.19,0.920425629,303.3535781,-165.0597244,normal
1.22,1.226371932,300.5936459,-173.2702616,normal
1.21,1.128395462,314.4097014,-176.0789595,normal
1.2,1.420399777,300.652229,-172.2515403,normal
1.18,1.248606287,312.3809823,-177.3710936,normal
1.2,1.289950698,298.5915683,-172.3976951,normal
1.19,0.786529345,309.0587694,-175.8003996,normal
1.19,1.10878321,304.48133,-174.2883503,normal
1.19,1.094558107,303.1186981,-183.0691533,normal
1.21,1.266899442,290.6172965,-180.5414986,normal
1.2,1.22554941,293.2218917,-161.6772192,normal
1.2,1.100531478,291.9373599,-162.7738484,normal
1.22,1.086021593,291.0472387,-169.0555237,normal
1.21,0.623690957,307.4726967,-174.9736041,normal
1.25,0.678506239,303.6192503,-166.9326011,normal
1.26,0.89309966,306.1286289,-155.5190208,normal
1.2,0.820475106,280.8432626,-143.7442804,normal
1.23,1.18235329,293.4450884,-163.3660212,normal
1.23,0.903933755,305.4053317,-177.7159349,normal
1.2,0.995221389,307.0420187,-176.2046704,normal
1.23,0.984259066,295.2323951,-167.9320818,normal
1.22,0.955863163,283.7688214,-168.0039568,normal
1.18,0.855660652,305.906765,-172.8878539,normal
1.2,0.563986386,304.4901066,-166.9497117,normal
1.22,1.100427297,315.9570669,-179.1280334,normal
1.2,1.085697748,302.6265045,-177.5438735,normal
1.16,1.291779993,309.0429537,-169.5738685,normal
1.19,1.016121931,304.7075932,-178.7029562,normal
1.22,0.874546087,299.4971075,-173.4264577,normal
1.18,1.10957057,297.1661015,-180.9525933,normal
1.14,1.368118235,317.40376,-162.561018,normal
1.17,1.310854846,303.73909,-165.7334953,normal
1.2,1.428766693,305.2196922,-161.7459802,normal
1.19,1.017442757,297.477964,-170.1847771,normal
1.22,0.856510998,297.7087267,-154.1361649,normal
1.18,1.104046479,307.3874191,-177.1941656,normal
1.18,1.007931709,310.1393541,-174.7197307,normal
1.19,1.109823863,296.7840233,-165.6897738,normal
1.24,1.087588496,290.1979376,-171.3141097,normal
1.25,0.559646885,301.5717694,-164.3296925,normal
1.23,1.271633227,292.9266711,-178.0253243,normal
1.2,1.05984728,313.1690599,-182.6249246,normal
1.18,1.04271678,307.562336,-181.2910786,normal
1.21,1.060482469,299.8710511,-179.2032621,normal
1.19,1.134718369,300.3152738,-168.3864386,normal
1.18,1.028322794,307.4266029,-169.5266349,normal
1.22,1.272253966,303.437061,-167.8674,normal
1.21,1.186801431,309.76992,-162.7924543,normal
1.25,1.277619308,310.7094376,-165.212199,normal
1.24,0.862922541,309.1155191,-153.3783022,normal
1.23,0.888229484,309.0071099,-170.9711447,normal
1.22,1.138881055,294.7983931,-179.3608617,normal
1.21,1.074311787,303.928481,-167.0944769,normal
1.22,0.889625849,305.0463977,-173.7641286,normal
1.22,0.959910062,300.6358894,-166.0239439,normal
1.18,1.113247542,309.6313308,-165.6201922,normal
1.22,0.714496343,300.5489926,-171.2539103,normal
1.24,0.715870942,305.0696115,-170.7510913,normal
1.23,0.846259982,302.0590172,-175.2451225,normal
1.23,1.193316934,306.1058494,-169.9507129,normal
1.23,1.519653886,306.810421,-169.0457235,normal
1.21,1.111280673,296.6461819,-162.8160571,normal
1.21,0.918539952,311.1992125,-176.2052597,normal
1.2,0.769660394,314.3758881,-180.7450973,normal
1.2,0.517600051,306.6472815,-176.6323891,normal
1.23,0.489008283,308.3381903,-168.8279472,normal
1.22,0.748736925,303.7161602,-165.6919834,normal
1.19,1.400945793,294.2195572,-159.4670604,normal
1.24,1.021605404,312.0362367,-160.8227995,normal
1.25,1.521483323,305.6730405,-159.5481812,normal
1.22,1.279591476,312.753711,-166.2068295,normal
1.21,1.196050991,307.9245186,-175.483598,normal
1.19,1.155685535,310.0502526,-177.0391637,normal
1.19,1.185159455,322.6901518,-185.5434242,normal
1.21,0.963083416,312.079292,-170.4295067,normal
1.19,1.074853749,298.3385094,-159.5873077,normal
1.16,0.844742451,319.9021212,-180.2765147,normal
1.18,0.914763495,310.3680004,-176.1658516,normal
1.19,1.453592612,313.2976113,-175.0238592,normal
1.22,1.676394235,293.5899313,-171.3151406,normal
1.21,1.465728272,317.9760387,-177.6394625,normal
1.18,1.492130468,320.2598836,-172.5134156,normal
1.23,1.382998256,310.7503989,-173.5771707,normal
1.22,1.241066463,317.6750557,-187.8541519,normal
1.17,1.352001598,295.0658212,-175.0762715,normal
1.19,1.26960357,294.3848809,-173.1964027,normal
