F1,F2,F3,F4,gait
1.13,1.197204032,338.5533032,-179.7068603,plantar
1.02,0.903865943,340.919739,-186.5536908,plantar
1.06,1.277054432,341.6335936,-184.9833827,plantar
1.04,1.109104234,348.3450678,-180.4267756,plantar
1.03,1.062891137,333.7958179,-177.3417431,plantar
1.04,1.893778847,335.0504959,-181.3019735,plantar
1.02,1.270481267,339.3360286,-187.5126099,plantar
1.01,1.307126058,348.0048198,-194.9481771,plantar
1.01,1.238266468,346.1643073,-191.9544705,plantar
1,1.440039151,342.0751572,-194.3447347,plantar
1,1.517592449,356.085714,-197.0504852,plantar
1,0.843766006,345.4389885,-192.6853071,plantar
0.99,1.408604867,349.6035772,-187.7454122,plantar
1.01,1.261579108,350.1121298,-187.1657405,plantar
0.99,1.50134627,342.4554195,-185.6293854,plantar
1,1.74398152,346.512722,-193.0363319,plantar
1,1.208023454,341.9439009,-193.8809452,plantar
0.99,1.398818728,344.3085652,-189.7328276,plantar
1,1.342356322,347.3950437,-196.7144019,plantar
0.98,1.268104325,335.9933069,-205.0899971,plantar
0.98,1.295940945,345.3387214,-195.0641229,plantar
0.95,1.302803988,365.709639,-194.8116332,plantar
0.97,1.12103627,360.2846777,-197.5354981,plantar
0.98,1.249380122,353.0548391,-192.2287546,plantar
0.93,1.511291521,375.8673451,-207.5235968,plantar
0.96,1.573533757,362.7467358,-194.8995314,plantar
0.96,1.611631898,372.8974666,-199.887404,plantar
0.94,1.407412846,354.8087163,-200.9814935,plantar
0.93,1.902646037,367.4311517,-208.7331918,plantar
0.93,1.304075378,357.5649534,-197.9019746,plantar
0.93,1.511819099,361.1796909,-207.3524451,plantar
0.93,1.629801136,361.9068939,-204.2383109,plantar
0.96,1.708668512,346.4159749,-208.6396461,plantar
0.96,1.29505851,359.2703405,-201.0092068,plantar
0.97,1.987289234,355.7657912,-202.3487477,plantar
0.96,1.321815851,354.1119405,-196.1233334,plantar
0.96,1.521663375,359.5007764,-198.4083517,plantar
0.96,1.377422575,359.5085586,-198.8620128,plantar
0.98,1.105744293,358.3836201,-194.8320986,plantar
0.97,1.167513039,349.1877536,-194.8856027,plantar
0.98,1.50174517,351.5722261,-194.6955713,plantar
0.96,1.391892171,356.9937602,-198.145279,plantar
0.97,1.83657143,350.5452036,-196.9213988,plantar
0.97,1.894628305,351.0998781,-189.9259073,plantar
0.97,1.849840524,349.6792213,-203.2995328,plantar
0.98,1.597614273,348.0333383,-195.6537744,plantar
0.98,1.458415445,352.04841,-191.8558586,plantar
0.97,1.583594755,353.5264748,-195.6479399,plantar
0.98,1.617698042,348.5480315,-192.9477697,plantar
0.94,1.55267499,362.0245699,-193.013766,plantar
0.97,1.861547468,343.3179345,-186.5752146,plantar
0.98,1.389481356,352.3385324,-193.5895111,plantar
0.99,1.745647312,349.1670154,-193.0226656,plantar
0.99,1.896368175,341.7049992,-198.1471558,plantar
0.97,1.586811349,355.9829916,-191.1285661,plantar
0.99,1.233915948,350.6450732,-192.9142582,plantar
0.98,1.564283411,355.0515126,-197.0051813,plantar
1,1.739740946,361.1820251,-186.2358828,plantar
1.04,1.210314873,353.6307529,-191.0301575,plantar
0.98,1.4354327,357.2935848,-188.0464128,plantar
0.98,1.427046584,356.3113783,-196.2192502,plantar
0.98,1.631646633,354.6908234,-193.5200707,plantar
0.99,1.851248444,340.8458507,-193.291374,plantar
0.99,1.459176786,334.7992363,-185.5836726,plantar
0.96,1.784867302,345.1956033,-186.7045659,plantar
0.96,1.847419944,350.7197456,-191.4812495,plantar
0.98,2.106820759,346.3485363,-185.375334,plantar
0.98,1.649210948,343.821208,-183.0087219,plantar
1,1.289321313,345.7242884,-191.0951779,plantar
1,1.135293728,349.2655893,-195.2043015,plantar
1.02,1.707598687,342.5780937,-185.8346333,plantar
0.97,1.695227263,346.6557664,-183.2916719,plantar
0.98,1.807493085,346.3607673,-199.5355488,plantar
1,1.093229916,348.5545548,-184.7407872,plantar
